genres,app_name,item_id,developer,Accounting,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,sin dato,release_date
"['Action', 'Adventure', 'RPG']",The Longest Journey,6310,Funcom,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000
['Strategy'],Civilization IV®: Warlords,3990,Firaxis Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
['Strategy'],Railroad Tycoon 3,7610,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2003
['Strategy'],Sid Meier's Railroads!,7600,"Firaxis Games,Feral Interactive (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
['Strategy'],Railroad Tycoon II Platinum,7620,PopTop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1998
"['Casual', 'Indie']",RIP - Trilogy™,2540,Elephant Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Strategy'],X-COM: Terror From the Deep,7650,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
"['Action', 'Adventure']",Tomb Raider: Anniversary,8000,"Crystal Dynamics,Feral Interactive (Mac)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Action'],Devil May Cry® 3 Special Edition,6550,"CAPCOM Co., Ltd.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"['Action', 'Adventure']",Sam & Max 101: Culture Shock,8200,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
['Action'],Final DOOM,2290,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
"['Indie', 'RPG']",Vigil: Blood Bitterness™,2570,Freegamer,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2007
"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,8210,Telltale Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
['Action'],Ultimate Doom,2280,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
['Action'],Master Levels for Doom II,9160,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
['Action'],DOOM II,2300,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
['Action'],Wolfenstein 3D,2270,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994
['Action'],Return to Castle Wolfenstein,9010,Gray Matter Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,9040,Ritual Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
['Action'],Spear of Destiny,9000,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993
['Action'],BloodRayne,3810,Terminal Reality,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,9030,Rogue Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Action'],QUAKE,2310,id Software,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Strategy'],Genesis Rising,3230,Metamorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2007
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
"['Action', 'RPG']",BioShock™,7670,"2K Boston,2K Australia",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580,Relic Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
['Strategy'],Rome: Total War™ - Collection,4760,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2004
['Strategy'],Rome: Total War™ - Alexander,4770,The Creative Assembly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2006
['Casual'],Mystery Case Files: Madame Fate®,50970,Big Fish Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Action'],Grand Theft Auto,12170,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
['Action'],Grand Theft Auto 2,12180,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999
['Action'],Manhunt,12130,Rockstar North,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
['Racing'],Midnight Club 2,12160,Rockstar San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2003
['Action'],Max Payne 2: The Fall of Max Payne,12150,Remedy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
"['Action', 'Adventure']",Tomb Raider: Legend,7000,Crystal Dynamics,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
['Action'],Max Payne,12140,Remedy Entertainment,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
['Strategy'],Command & Conquer: Red Alert 3,17480,EA Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2008
['Casual'],PuzzleQuest: Challenge of the Warlords,12500,Infinite Interactive,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
"['RPG', 'Casual', 'Adventure']",Culpa Innata,12310,Momentum Digital Media Technologies,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007
['Strategy'],Prison Tycoon 3™: Lockdown,12510,"Gamebryo,Virtual Playground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2007
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,12530,SCS Software,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2007
['Racing'],18 Wheels of Steel: American Long Haul,12520,SCS Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2007
['Action'],Conflict: Denied Ops,8100,Pivotal Games,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Action'],ARMA: Combat Operations,2780,Bohemia Interactive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Simulation'],Tycoon City: New York,9730,sin dato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
['Action'],Desperados 2: Cooper's Revenge,9710,Spellbound,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"['Action', 'Adventure']",Death to Spies,9800,Haggard Games,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Action'],Act of War: High Treason,9760,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2700,"Frontier,Aspyr (Mac)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2006
['Action'],Act of War: Direct Action,2710,Eugen Systems,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
['Action'],Unreal 2: The Awakening,13200,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
['Action'],Unreal Gold,13250,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,13000,Sanzaru Games,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Action'],Tom Clancy's Splinter Cell®,13560,Ubisoft,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
['Action'],Far Cry®,13520,Crytek Studios,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
['Action'],Unreal Tournament: Game of the Year Edition,13240,"Epic Games, Inc.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
['Action'],Tom Clancy's Rainbow Six® Vegas,13540,Ubisoft Montreal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
['Simulation'],Silent Hunter® III,15210,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2005
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,16180,Last Day of Work,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
['Casual'],Mystery P.I.™ - The Vegas Heist,3520,SpinTop Games,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Casual'],Luxor,15970,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Casual'],Reaxxion,15950,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Casual'],Little Farm,15960,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Casual'],7 Wonders II,15900,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Casual'],Luxor Amun Rising,15910,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
['Casual'],Luxor 3,15930,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Simulation'],Petz® Horsez® 2,15160,Ubisoft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
['Casual'],Luxor 2,15920,MumboJumbo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"['Action', 'Adventure']",Rayman Raving Rabbids™,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Simulation'],Silent Hunter®: Wolves of the Pacific,15200,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
['Simulation'],IL-2 Sturmovik: 1946,15320,1C: Maddox Games,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2006
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240,Ubisoft Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
['Adventure'],Bone: Out From Boneville,8310,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
['Racing'],Midnight Outlaw: 6 Hours to SunUp,12600,"Merscom,Babylon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2005
['Adventure'],Bone: The Great Cow Race,8320,Telltale Games,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
['Racing'],Sprint Cars Road to Knoxville,12590,BigAnt Studios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
sin dato,Dr. Daisy Pet Vet,12580,Zemnott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2008
['Simulation'],Ride! Carnival Tycoon,12560,Gabriel Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2007
sin dato,Hot Dish,12570,Zemnott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2008
['Casual'],Mahjongg Investigations: Under Suspicion,12540,Zemnott,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Adventure'],Dracula Origin,11050,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,10520,Eurocom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2008
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,11040,Frogwares,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2008
"['Adventure', 'Indie']",Eternity's Child,19500,"Luc Bernard,SilverSphereStudios",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
"['Simulation', 'Strategy']",Pacific Storm Allies,11260,Lesta Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2007
"['Action', 'Indie']",Tank Universal,19200,Dialogue Design,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Racing'],FlatOut: Ultimate Carnage,12360,Bugbear Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
['Adventure'],Oddworld: Abe's Exoddus®,15710,Oddworld Inhabitants,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
['Adventure'],Oddworld: Abe's Oddysee®,15700,Oddworld Inhabitants,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997
['Racing'],GTR Evolution Expansion Pack for RACE 07,8660,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
['Strategy'],X-COM: Enforcer,7770,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001
['Strategy'],X-COM: Apocalypse,7660,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1997
['Strategy'],X-COM: UFO Defense,7760,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1993
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,20510,GSC Game World,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2008
['Action'],Crysis Warhead®,17330,Crytek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Action'],Crysis,17300,Crytek,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
['Strategy'],X-COM: Interceptor,7730,"MicroProse Software, Inc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1998
"['Action', 'RPG']",The Witcher: Enhanced Edition Director's Cut,20900,CD PROJEKT RED,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2008
['Indie'],Multiwinia,1530,Introversion Software,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
['Racing'],STCC - The Game 1 - Expansion Pack for RACE 07,8690,SimBin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
